URL,Cluster,Page Type,TotalInlinks,HeaderNavInlinks,FooterInlinks,MainContentInlinks,UniqueMainContentSourcePages,HubInlinks,FeatureInlinks,ToolInlinks,GuideInlinks,FooterDependency,ContextualAuthorityLevel,Evidence,PriorityReason
https://familyboard.win/zh-tw/checklists/printable-house-sitter-checklist/,printables,printable,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/condo-maintenance-checklist/,maintenance,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-accessibility-walkthrough-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-annual-subscription-cost-calculator-tutorial/,household-operations,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-app-first-run-restore-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-age-calculator-tutorial/,tools,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-maintenance-checklist-generator-tutorial/,appliances,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-manual-source-tutorial/,appliances,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-purchase-installation-tutorial/,appliances,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-repair-callback-tutorial/,appliances,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-appliance-replacement-planner-tutorial/,tools,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-attachment-expiry-review-tutorial/,records-emergency,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-backup-recovery-checker-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-backup-restore-rehearsal-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-bill-review-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-calendar-timezone-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-cleaning-schedule-generator-tutorial/,tools,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-clothing-care-repair-log-tutorial/,household-operations,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-clothing-care-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-consumable-change-history-tutorial/,maintenance,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
https://familyboard.win/zh-tw/guides/familyboard-donation-handoff-tutorial/,product,content,516,1,515,1,1,0,0,0,1,0.9981,EMERGING,REPO_EVIDENCE,HIGH_FOOTER_LOW_CONTEXTUAL
