URL,Locale,SourceIndexable,TechnicallyIndexable,SitemapEligible,GoogleIndexStatus,IndexabilityRecommendation,EvidenceConfidence,Reason,Evidence
https://familyboard.win/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/about/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/affiliate-disclosure/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/changelog/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-emergency-binder-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-home-maintenance-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-house-sitter-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-monthly-home-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-moving-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
https://familyboard.win/checklists/printable-new-home-checklist/,en,true,YES,YES,UNKNOWN,NO_CHANGE_PENDING_SEARCH_EVIDENCE,UNKNOWN,No current GSC or URL Inspection evidence for removal; KEEP_INDEXABLE is not search-value proof.,REPO_EVIDENCE; NEEDS_EVIDENCE
